Authors,Title,Citation,DOIorPMID,Publisher,Year,Country (primary),Institution,All entries I found myself,Problem Type,Cluster,Cat1,Cat2,Cat3,FINDINGS,Reported to journal and or institute,Reported on Pubpeer,"Reported to Pubpeer, journal and or institute",PubPeer  post date,PubPeer Identity,PubPeer url,Email to Editor,RT,Expression of concern,CR,Correction or Retraction Date,Survival,mBio Set 782
"Martin Ploss, Andreas Kuhn",Membrane insertion and assembly of epitope- tagged gp9 at the tip of the M13 phage,"BMC Microbiology 2011, 11:211",10.1186/1471-2180-11-211,Springer/ BioMedCentral,2011,Germany,"Institute of Microbiology, and Molecular Biology, University of Hohenheim, Garbenstrasse 30 D-70593 Stuttgart",1,ImageDupl,Andreas Kuhn cluster,,1,,Duplicated blot strips,1,1,1,12/27/2019,Elisabeth Bik,https://pubpeer.com/publications/7D876969C2F6B76BF5B78D636AF308,7/29/2015,,,1,8/21/2017,754,1
"Gail Doughton, Jun Wei, Nicolas Tapon, Melanie J. Welham, Andrew D. Chalmers",Formation of a Polarised Primitive Endoderm Layer in Embryoid Bodies Requires Fgfr/ Erk Signalling,"PLOS One, April 2014 | Volume 9 | Issue 4 | e95434",10.1371/journal.pone.0095434,PLOS,2014,UK,Bath,1,ImageDupl,"Andrew Chalmers, Bath cluster",,1,,"Duplicated compressed blots, overlapping microscopy",1,1,1,12/27/2019,Elisabeth Bik,https://pubpeer.com/publications/76716A4566EE679E48B73096AF6D45,4/22/2014,,,1,10/30/2015,556,1
"W. Shannon Orr, Jason W. Denbo, Karim R. Saab, Catherine Y. Ng, Jianrong Wu, Kui Li, Jo Meagan Garner, Christopher L. Morton, Ziyun Du, Lawrence M. Pfeffer, Andrew M. Davidoff",Curcumin Potentiates Rhabdomyosarcoma Radiosensitivity by Suppressing NF-kB Activity,"PLOS ONE, February 2013 | Volume 8 | Issue 2 | e51309",10.1371/journal.pone.0051309,PLOS,2013,USA,"University of Tennessee Health Science Center, Department of Surgery, Memphis, Tennessee",1,ImageDupl,Andrew Davidoff / Tennessee cluster,,,1,"Manipulated blots (duplicated bands, multiple cases)",1,1,1,8/4/2014,Peer 1,https://pubpeer.com/publications/9D8E6F914E2B0CF873A82446CEEB0F,8/3/2015,1,,,8/30/2019,1488,1
"Angela Mika, Priscilla Goh, Deborah C. Holt, Dave J. Kemp, Katja Fischer",Scabies Mite Peritrophins Are Potential Targets of Human Host Innate Immunity,"PLOS Neglected Tropical Diseases, September 2011 | Volume 5 | Issue 9 | e1331",10.1371/journal.pntd.0001331,PLOS,2011,Australia,"Queensland Institute of Medical Research, and Australian Centre for International, and Tropical Health, and Nutrition, University of Queensland, Brisbane",1,ImageDupl,Angela Mika and Katja Fischer Queensland,,,,"Duplicated lanes within same panel, patches, cuts",1,1,1,12/27/2019,Elisabeth Bik,https://pubpeer.com/publications/7DDC3560DA8E9B827A3D263E7AFBE2,10/2/2015,,,,,-42279,1
"Maria de Lujan Alvarez, Ariel D. Quiroga, Marıa Teresa Ronco, Juan Pablo Parody, J. Elena Ochoa, Juan A. Monti, Cristina E. Carnovale, Marıa Cristina Carrillo ",Time-dependent onset of Interferon-a2b-induced apoptosis in isolated hepatocytes from preneoplastic rat livers,Cytokine 36 (2006) 245–253,10.1016/j.cyto.2007.01.002,Elsevier/ScienceDirect (10.1016),2006,Argentina,"Consejo Nacional de Investigaciones Cientificas y Tecnicas (CONICET), Universidad Nacional de Rosario",1,ImageDupl,Ariel D. Quiroga Maria de Lujan Alvarez María Cristina Carrillo cluster,,1,,Mirrored blot,1,1,1,3/19/2019,Anemone Sellowii,https://pubpeer.com/publications/77606B27C45A44D010B7E6DD52A9A3,10/4/2015,,,,,-42281,1
"Ariel D. Quiroga, María de Luján Alvarez, Juan P. Parody, María T. Ronco, Cristina E. Carnovale, María Cristina Carrillo",Interferon-α2b (IFN-α2b)-induced apoptosis is mediated by p38 MAPK in hepatocytes from rat preneoplastic liver via activation of NADPH oxidase,"Growth Factors, August 2009; 27(4): 214–227",10.1080/08977190902951558,Taylor&Francis,2009,Argentina,"Consejo Nacional de Investigaciones Cientificas y Tecnicas (CONICET), Universidad Nacional de Rosario",1,ImageDupl,Ariel D. Quiroga Maria de Lujan Alvarez María Cristina Carrillo cluster,,1,,Mirrored blot panel,1,1,1,3/19/2019,Anemone Sellowii,https://pubpeer.com/publications/3B6727735D21B6BFBDEDFC5BE8F6A9,10/4/2015,1,,,7/23/2020,1754,1
"Devan Sabarinathan, Palani Mahalakshmi, Arambakkam Janardhanam Vanisree",Naringenin promote apoptosis in cerebrally implanted C6 glioma cells,Mol Cell Biochem (2010) 345:215–222,10.1007/s11010-010-0575-6,Springer,2010,India ,"Department of Biochemistry, University of Madras, Guindy Campus, Chennai",1,ImageDupl,Arrambakam Janardhanam Vanisree,,,1,"Duplicated lanes within same blot, two cases",1,1,1,3/19/2019,Anemone Sellowii,https://pubpeer.com/publications/72756D824C16801EC982491666A275,10/4/2015,,,,,-42281,1
"Asita Mukherjee, Yaya Cui, Weilei Ma, Yang Liu, Arun K. Chatterjee","hexA of Erwinia carotovora ssp. carotovora strain Ecc71 negatively regulates production of RpoS and rsmB RNA, a global regulator of extracellular proteins, plant virulence and the quorum-sensing signal, N-(3-oxohexanoyl)-L-homoserine lactone","Environmental Microbiology (2000) 2(2), 203±215",10.1046/j.1462-2920.2000.00093.x,,2000,USA,"Department of Plant Microbiology and Pathology, Plant Sciences Unit, University of Missouri, Columbia, MO",1,ImageDupl,Arun K. Chatterjee /  Missouri cluster,,,1,Duplicated blot bands,1,1,1,12/27/2019,Elisabeth Bik,https://pubpeer.com/publications/4251B9C8A403462F8AF5BF17F8CD5E,10/4/2015,,,,,-42281,1
"Asim A. Siddiqui, Jia Xainli, Jesse Schloegel, Lenore Carias, Francis Ntumngia, Menachem Shoham, Joanne L. Casey, Michael Foley, John H. Adams, Christopher L. King",Fine Specificity of Plasmodium vivax Duffy Binding Protein Binding Engagement of the Duffy Antigen on Human Erythrocytes,"Infect. Immun. 2012, 80(8):2920",10.1128/IAI.00206-12,ASM,2012,USA,Case Western,1,ImageDupl,Asim Siddiqui / Yagya D Sharma cluster,,,1,"duplicated, shifted, rotated blot strips/lanes",1,1,1,12/27/2019,Elisabeth Bik,https://pubpeer.com/publications/4738A3084C855A5A4B776D4D81D75D,10/30/2014,1,,,5/12/2015,194,1
"Amy Lai, Azadeh Hosseini-Tabatabaei, Ryan Hartwell, Elham Rahmani-Neishaboor, Ruhangiz Taghi Kilani, Aziz Ghahary",Topical application of aminopeptidase N-neutralizing antibody accelerates wound closure,Mol Cell Biochem (2013) 372:95–100,10.1007/s11010-012-1449-x,Springer,2013,Canada,"Burn, and Wound Healing Research Laboratory, ICORD, Vancouver",1,ImageDupl,Aziz Ghahary British Columbia cluster,,1,,Overlapping microscopy images,1,1,1,3/11/2019,Ocybadistes Walkeri,https://pubpeer.com/publications/B0D8BCFE88A5F31564B5777BD01FF5,10/4/2015,,,,,-42281,1
"Azza B. El-Remessy, Telina Franklin, Nagla Ghaley, Jinling Yang, Michael W. Brands, Ruth B. Caldwell, Mohamed Ali Behzadian",Diabetes-Induced Superoxide Anion and Breakdown of the Blood-Retinal Barrier: Role of the VEGF/uPAR Pathway,"PLOS ONE, August 2013 | Volume 8 | Issue 8 | e71868",10.1371/journal.pone.0071868,PLOS,2013,USA,"Medical College of Georgia, Georgia Regents University, Augusta, Georgia,",1,ImageDupl,Azza El-Remessy CLUSTER,,1,,similar bands within or between panels,1,1,1,8/12/2014,Peer 1,https://pubpeer.com/publications/A572B097E87E1AB2062EB904DDC870,8/12/2014,,,1,10/16/2017,1161,1
"Mairaj Ahmed Ansari, Vivek Vikram Singh, Sujoy Dutta, Mohanan Valiya Veettil, Dipanjan Dutta, Leela Chikoti, Jie Lu, David Everly, Bala Chandran","Constitutive Interferon-Inducible Protein 16-Inflammasome Activation during Epstein-Barr Virus Latency I, II and III in B and Epithelial Cells","Journal of Virology, August 2013 Volume 87 Number 15, p. 8606–8623",10.1128/JVI.00805-13,ASM,2013,USA,"Chicago Medical School, Rosalind Franklin University of Medicine and Science, North Chicago, Illinois",1,ImageDupl,Bala Chandran cluster,,1,,"duplicated blot panels, multiple cases",1,1,1,12/27/2019,Elisabeth Bik,https://pubpeer.com/publications/33889844517059AFBB302BF0CF901D,12/31/2014,,,1,11/14/2017,1049,1
"Feng-Chun Ye, Fu-Chun Zhou, Stanley Nithianantham, Bala Chandran, Xiao-Lan Yu, Aaron Weinberg, Shou-Jiang Gao",Kaposi’s Sarcoma-Associated Herpesvirus Induces Rapid Release of Angiopoietin-2 from Endothelial Cells,"Journal of Virology, June 2013 Volume 87 Number 11, p. 6326–6335",10.1128/JVI.03303-12,ASM,2013,USA,"School of Dental Medicine, Case Western Reserve University, Cleveland, Ohio",1,ImageDupl,Bala Chandran cluster,1,,,duplicated blot panel,1,1,1,12/27/2019,Elisabeth Bik,https://pubpeer.com/publications/FC36172B5A5C59303E4DACD15EAF97,12/31/2014,,,1,7/1/2020,2009,1
"Chonggao Yin, Hongli Li, Baogang Zhang, Yuqing Liu, Guohua Lu, Shijun Lu, Lei Sun, Yueliang Qi, Xiaolong Li, Weiyi Chen",RAGE-binding S100A8/A9 promotes the migration and invasion of human breast cancer cells through actin polymerization and epithelial–mesenchymal transition,Breast Cancer Res Treat (2013) 142:297–309,10.1007/s10549-013-2737-1,Springer,2013,China,"College of Nursing, Weifang Medical University, Weifang",1,ImageDupl,"Baogang Zhang and Shijun Lu, Weifang Medical University",,1,,"Overlapping microscopy images, overlapping blots",1,1,1,3/20/2019,Anemone Sellowii,https://pubpeer.com/publications/A81116855AB0D31BFC5099405F7A9C,10/4/2015,,1,0,6/6/2024,3168,1
"Shuo Geng, Xiaojun Zhang, Jie Chen, Xing Liu, Hepeng Zhang, Xiaoyan Xu, Yan Ma, Baoxin Li, Yunqi Zhang, Zhenggang Bi, Chenglin Yang",The Tumor Suppressor Role of miR-124 in Osteosarcoma,"PLOS ONE, June 2014 | Volume 9 | Issue 6 | e91566",10.1371/journal.pone.0091566,PLOS,2014,China,"Orthopedic Surgery, the First Affiliated Hospital of Harbin Medical University, Nangang District, Harbin, Heilongjiang Prov.",1,ImageDupl,Baoxin Li Harbin Medical University cluster,,1,,Multiple cases of overlapping microscopy images,1,1,1,3/21/2019,Elisabeth Bik,https://pubpeer.com/publications/A1730931EE2FA11503C3C76A1467D7,10/7/2015,1,,,3/13/2019,1253,1
"Baoyi Zhu, Xiaojuan Li, Yuying Zhang, Chunwei Ye, Yu Wang, Songwang Cai, Huaiqiu Huang, Yi Cai, Shuyuan Yeh, Zhenhua Huang, Ruihan Chen, Yiran Tao, Xingqiao Wen",Cross-talk of alpha tocopherol-associated protein and JNK controls the oxidative stress-induced apoptosis in prostate cancer cells,"Int. J. Cancer: 132, 2270–2282 (2013)",10.1002/ijc.27927,Wiley (10.1002 / 10/1111 etc),2013,China,"Department of Urology, The Third Affiliated Hospital, Sun Yat-sen University, Guangzhou 510630, China",1,ImageDupl,"Baoyi Zhu and Xingqiao Wen, Urology Department, Sun Yat-Sen University",,1,,Multiple cases of overlapping microscopy images,1,1,1,2/15/2015,Peer 1,https://pubpeer.com/publications/B0EE98F42E52EE4F8B130E20059699,2/21/2015,1,,,10/15/2015,236,1
"Martin P. Barr, Steven G. Gray, Andreas C. Hoffmann, Ralf A. Hilger, Juergen Thomale, John D. O’Flaherty, Dean A. Fennell, Derek Richard, John J. O’Leary, Kenneth J. O’Byrne",Generation and Characterisation of Cisplatin-Resistant Non-Small Cell Lung Cancer Cell Lines Displaying a Stem- Like Signature,"PLOS One, January 2013 | Volume 8 | Issue 1 | e54193",10.1371/journal.pone.0054193,PLOS,2013,Ireland,"Trinity College, Dublin",1,ImageDupl,Barr / Harmey / Dublin cluster,,1,,rotated microscopy panel,1,1,1,9/30/2019,Elisabeth Bik,https://pubpeer.com/publications/C80F1B6ED13FBE1463BDEFAFF4006E,5/11/2014,,,1,5/21/2020,2202,1
"Benjamin A. Katchman, Kwasi Antwi, Galen Hostetter, Michael J. Demeure, Aprill Watanabe, G. Anton Decker, Laurence J. Miller, Daniel D. Von Hoff, Douglas F. Lake",Expression of quiescin sulfhydryl oxidase 1 is associated with a highly invasive phenotype and correlates with a poor prognosis in Luminal B breast cancer,"Breast Cancer Research 2013, 15:R28",10.1186/bcr3407,Springer/ BioMedCentral,2013,USA,"School of Life Sciences, Arizona State University, Tempe, AZ",1,ImageDupl,Benjamin Katchman Douglas Lake Arizona cluster,,1,,Overlapping microscopy images,1,1,1,3/22/2019,Bacillus mannanilyticus,https://pubpeer.com/publications/2BBE5A601C6F51B82E2AC3B6489FF2,7/29/2015,,,1,8/8/2018,1106,1
"Bertha Schwartz, Carmel Avivi-Green, Sylvie Polak-Charcon","Sodium butyrate induces retinoblastoma protein dephosphorylation, p16 expression and growth arrest of colon cancer cells","Molecular and Cellular Biochemistry 188: 21–30, 1998",PMID:9823007,,1998,Israel,"The Hebrew University of Jerusalem, Campus Rehovot",1,ImageDupl,Betty / Bertha Schwartz Hebrew University,,,1,Duplicated lanes in same panel,1,1,1,1/20/2021,Elisabeth Bik,https://pubpeer.com/publications/A463B028AC797D2660ABB43CE141DC,10/4/2015,,,,,-42281,1
"Jing Huang, Xianghua Ye, Jian Guan, Bin Chen, Qisheng Li, Xiaokang Zheng, Laiyu Liu, Shuang Wang, Yanqing Ding, Yi Ding, Longhua Chen",Tiam1 is associated with hepatocellular carcinoma metastasis,"Int. J. Cancer: 132, 90–100 (2013)",10.1002/ijc.27627,Wiley (10.1002 / 10/1111 etc),2013,China,"Radiation Oncology, Nanfang Hospital, Southern Medical University, Guangzhou",1,ImageDupl,"Bin Chen and Longhua Chen, Nanfang Hospital Guangzhou cluster",,1,,Overlapping microscopy images; multiple cases,1,1,1,3/22/2019,Bacillus mannanilyticus,https://pubpeer.com/publications/6F27D63B26D37D6D88EEF710DC4DC0,2/21/2015,,,1,10/15/2015,236,1
"Ying Liu, Yi Ding, Jing Huang, Shuang Wang, Wen Ni, Jian Guan, Qisheng Li, Yuqin Zhang, Yanqing Ding, Bin Chen, Longhua Chen",MiR-141 Suppresses the Migration and Invasion of HCC Cells by Targeting Tiam1,"PLOS ONE, February 2014 | Volume 9 | Issue 2 | e88393",10.1371/journal.pone.0088393,PLOS,2014,China,"Radiation Oncology, Nanfang Hospital,Southern Medical University, Guangzhou",1,ImageDupl,"Bin Chen and Longhua Chen, Nanfang Hospital Guangzhou cluster",,1,,overlapping microscopy images,1,1,1,3/22/2019,Bacillus mannanilyticus,https://pubpeer.com/publications/D866DD1BF4801DE5FB1C3DE60D4F1D,10/7/2015,,,,,-42284,1
"Jianbiao Xiao, Yi Ding, Jing Huang, Qisheng Li, Ying Liu, Wen Ni, Yuqin Zhang, Yanfei Zhu, Longhua Chen, Bin Chen",The Association of HMGB1 Gene with the Prognosis of HCC,"PLOS ONE, February 2014 | Volume 9 | Issue 2 | e89097",10.1371/journal.pone.0089097,PLOS,2014,China,"Radiation Oncology, Nanfang Hospital,Southern Medical University, Guangzhou",1,ImageDupl,"Bin Chen and Longhua Chen, Nanfang Hospital Guangzhou cluster",,1,,"overlapping microscopy images, flipped blot panels",1,1,1,3/22/2019,Bacillus mannanilyticus,https://pubpeer.com/publications/D4DB39235A87D8BC156CF50BD13B1F,10/7/2015,1,,,4/11/2023,2743,1
"Yuqin Zhang, Lin Zheng, Jing Huang, Fei Gao, Xiaoshan Lin, Lian He, Dan Li, Zhijun Li, Yi Ding, Longhua Chen",MiR-124 Radiosensitizes Human Colorectal Cancer Cells by Targeting PRRX1,"PLOS ONE, April 2014 | Volume 9 | Issue 4 | e93917",10.1371/journal.pone.0093917,PLOS,2014,China,"Radiation Oncology, Nanfang Hospital, Southern Medical University, Guangzhou, Guangdong,",1,ImageDupl,"Bin Chen and Longhua Chen, Nanfang Hospital Guangzhou cluster",1,,,Duplicated blot panels,1,1,1,3/22/2019,Bacillus mannanilyticus,https://pubpeer.com/publications/F281613F2709D85343E94F08E83C72,10/7/2015,,,,,-42284,1
"Jian Wu, Shun-Li Shen, Bin Chen, Jing Nie, Bao-Gang Peng",Numb Promotes Cell Proliferation and Correlates with Poor Prognosis in Hepatocellular Carcinoma,"PLOS One, April 2014 | Volume 9 | Issue 4 | e95849",10.1371/journal.pone.0095849,PLOS,2014,China,"Hepatobiliary Surgery, First Affiliated Hospital, Guangzhou",1,ImageDupl,"Bin Chen and Longhua Chen, Nanfang Hospital Guangzhou cluster",,1,,"Overlapping microscopy, multiple cases, reused blot bands",1,1,1,3/22/2019,Bacillus mannanilyticus,https://pubpeer.com/publications/AD0DAE91C2893F769F5FC4B3A2EF4B,4/27/2014,,,1,3/23/2022,2887,1
"Bishwanath K Chourasia, Rama Chaudhry, Pawan Malhotra",Delineation of immunodominant and cytadherence segment(s) of Mycoplasma pneumoniae P1 gene,"BMC Microbiology 2014, 14:108",10.1186/1471-2180-14-108,Springer/ BioMedCentral,2014,India,"Microbiology, All India Institute of Medical Sciences, New Delhi,",1,ImageDupl,Bishwanath K Chourasia,,1,,"duplicated microscopy images, patched blot",1,1,1,5/22/2023,Elisabeth Bik,https://pubpeer.com/publications/B92B46099B7546972E21486756D8C0,7/29/2015,,,,,-42214,1
"A. Sharifnia, B. Bakhshi, M.R. Pourshafie",wbeT sequence typing and IS1004 profiling of Vibrio cholerae isolates,"Letters in Applied Microbiology 54, 267–271 a 2012",10.1111/j.1472-765X.2012.03204.x,Wiley,2012,Iran,"Department of Bacteriology, Pasteur Institute of Iran, Tehran; Tarbiat Modares University, Jalal-Ale-Ahmad Ave, Tehran",1,ImageDupl,Bita Bakhshi,,,1,"duplicated lanes within one panel, multiple cases",1,1,1,8/11/2023,Elisabeth Bik,https://pubpeer.com/publications/65E2EDAC7221773ABF5ADB888580FD#,10/4/2015,1,,,11/1/2023,2950,1
"Ying-Bin Wang, Yun-Fang Liu, Xiao-Ting Lu, Fang-Fang Yan, Bo Wang, Wen-Wu Bai, Yu-Xia Zhao",Rehmannia Glutinosa Extract Activates Endothelial Progenitor Cells in a Rat Model of Myocardial Infarction through a SDF-1 a/CXCR4 Cascade,"PLOS One, January 2013 | Volume 8 | Issue 1 | e54303",10.1371/journal.pone.0054303,PLOS,2013,China,"Key Laboratory of Cardiovascular Remodeling and Function Research, Shandong University, Jinan",1,ImageDupl,"Bo Wang, Yu-xia Zhao, Qilu Hospital, Shandong University cluster",,1,,"Overlapping microscopy panels, duplicated gel panels",1,1,1,3/22/2019,Bacillus mannanilyticus,https://pubpeer.com/publications/3AF30C60C3842B54787C0014B88912,5/10/2014,1,,,5/20/2019,1836,1
"Bo Wang, Qing Yang, Wen-wu Bai, Yi-fan Xing, Xiao-ting Lu, Yuan-yuan Sun, Yu-xia Zhao",Tongxinluo Protects against Pressure Overload–Induced Heart Failure in Mice Involving VEGF/Akt/eNOS Pathway Activation,"PLOS ONE, June 2014 | Volume 9 | Issue 6 | e98047",10.1371/journal.pone.0098047,PLOS,2014,China,"Department of Traditional Chinese Medicine, Qilu Hospital of Shandong University, Jinan",1,ImageDupl,"Bo Wang, Yu-xia Zhao, Qilu Hospital, Shandong University cluster",,1,,Overlapping microscopy images,1,1,1,6/15/2014,Peer 1,https://pubpeer.com/publications/39300FE9DD7F9B896C183B54CF7039,6/15/2014,,,1,8/1/2019,1873,1
"Wen-hua Liu, Jing-jin Liu, Jian Wu, Lu-lu Zhang, Fang Liu, Li Yin, Mao-mao Zhang, Bo Yu",Novel Mechanism of Inhibition of Dendritic Cells Maturation by Mesenchymal Stem Cells via Interleukin- 10 and the JAK1/STAT3 Signaling Pathway,"PLOS ONE, January 2013 | Volume 8 | Issue 1 | e55487",10.1371/journal.pone.0055487,PLOS,2013,China,"Intensive Care Unit (ICU) Department, Second Affiliated Hospital of Harbin Medical University, Harbin, Province Heilongjiang,",1,ImageDupl,Bo Yu Harbin Univ cluster,,1,,"duplicated graphs, duplicated western blots, shifted/rotated western blots",1,1,1,4/16/2019,"Bacillus Mannanilyticus, secondary",https://pubpeer.com/publications/63F0A2AC2B23911C856AD13E093A93,5/24/2014,1,,,3/14/2018,1390,1
